Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Ratio of Engagement To Post Entered in screen,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",,Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count)
386724564681370_5162938497059929,https://www.facebook.com/habitatmatthews/posts/5162938497059929,Housing is the key to reducing intergenerational poverty and increasing economic mobility. Research shows that increasing access to affordable housing is the most cost-effective strategy for reducing childhood poverty and increasing economic mobility in the United States.,Video,,,2/26/22 5:00 PM, ,64,64,0,67,67,0,8,12.50,3,4,0,0,54,52,0,0,7,1,1,0,0,18,19,0,0,3313,20117
386724564681370_5162888587064920,https://www.facebook.com/habitatmatthews/posts/5162888587064920,We're hiring! Come join our team as a member of the Greater Matthews Habitat for Humanity ReStore!,Hiring Post,,,2/25/22 8:13 AM, ,165,165,0,168,168,0,3,1.82,1,1,1,1,149,146,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_5159884847365294,https://www.facebook.com/habitatmatthews/posts/5159884847365294,"Are you a resident of the Town of Matthews, NC, own your home, are on a fixed or limited income, and have repair needs that are affecting the health and safety of your household? We may be able to help - at no cost to you. Visit gmhfh.org/criticalrepair for more info.",Video,,,2/24/22 8:43 AM, ,98,98,0,107,107,0,4,4.08,2,3,0,0,85,78,0,0,4,4,4,0,0,36,41,0,0,5287,20117
386724564681370_5156869161000196,https://www.facebook.com/habitatmatthews/posts/5156869161000196,Does your home in Matthews have Critical Repair needs that are affecting the health and safety of you or your family? We may be able to help - at no cost to you. Visit gmhfh.org/criticalrepair to learn more and apply.,Video,,,2/23/22 8:51 AM, ,1119,102,1026,2225,107,2118,122,10.90,119,135,0,0,106,90,25,15,5,3,3,273,347,26,27,407,512,3803,15274
386724564681370_5153963874624058,https://www.facebook.com/habitatmatthews/posts/5153963874624058,We get it - swinging a hammer outside in January (or July) isn’t for everyone. That doesn’t mean you can’t put your passion for affordable housing to good use. We've got 7 volunteer opportunities on our blog that are integral to our mission and are (mostly) hard hat free. (Psst... or check out our stories for a quick rundown!) Read more here: https://gmhfh.org/hardhathair,Video,,,2/22/22 10:34 AM, ,68,68,0,74,74,0,4,5.88,2,2,0,0,58,52,0,0,4,12,12,0,0,18,18,0,0,3918,5734
386724564681370_5151329244887521,https://www.facebook.com/habitatmatthews/posts/5151329244887521,Thank you Elevation Church - Matthews/Elevation Outreach for including us in your Outreach Fair yesterday!,Photo,,,2/21/22 2:33 PM, ,271,271,0,276,276,0,8,2.95,3,3,0,0,255,250,0,0,8,0,0,0,0,0,0,0,0,0,0
386724564681370_5151315751555537,https://www.facebook.com/habitatmatthews/posts/5151315751555537,We loved being a part of Matthews United Methodist Church’s Global Impact Fair yesterday. Thank you to everyone who stopped by our booth to learn more about our organization as well as the opportunity to share a deep dive into Habitat with one of their Sunday school classes. We love being part of such a great community!,Photo,,,2/21/22 2:26 PM, ,313,313,0,314,314,0,18,5.75,12,14,0,0,287,287,0,0,16,0,0,0,0,0,0,0,0,0,0
386724564681370_4964575670229547,https://www.facebook.com/habitatmatthews/posts/4964575670229547,Try to be a rainbow in someone's cloud. - Maya Angelou,Photo,,,2/21/22 6:45 AM, ,107,107,0,110,110,0,3,2.80,0,0,0,0,93,91,0,0,3,0,0,0,0,0,0,0,0,0,0
386724564681370_5135279523159160,https://www.facebook.com/habitatmatthews/posts/5135279523159160,We love this!,Photo,,,2/16/22 11:55 AM, ,73,73,0,77,77,0,2,2.74,0,0,0,0,58,57,0,0,2,0,0,0,0,0,0,0,0,0,0
386724564681370_5131746330179146,https://www.facebook.com/habitatmatthews/posts/5131746330179146,"Several churches in Matthews, including many of our Community Partners,  have joined together to talk about topics important to our community, including racial-bridge building, mental health, and more. Their upcoming community forum, featuring author Dr. Lucretia Berry from Davidson, NC, is titled “If We Don’t Keep Them in the Dark, Our Kids Will Light Up the World” and will be held next Tuesday at Matthews United Methodist Church.  The event can also be live-streamed.",Link,,,2/15/22 9:27 AM, ,36,36,0,38,38,0,0,0.00,0,0,0,0,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0
